tre_ID	delete_label	gene	root_relative_branch_ratio	sister_relative_branch_ratio
OGs_100110_T1_72	*	AGG_0026887	0.2017383901428424	214.13625296020814	
OGs_100110_T1_72			AKI_0039675	-0.9944140591201749	-0.9953517829457365	
OGs_100110_T1_72			AKQ_0019674	-0.11385767429176334	-0.6181851023049983	
OGs_100110_T1_72			ADN_0006448	1.3208689107152067	1.6190701463901809	
OGs_100110_T1_72			AKG_0023474	-0.4246685220359036	-0.6633643543685219	
OGs_100110_T1_72			AKC_0021559	-0.7737898270249789	-0.03744970699576519	
OGs_100110_T1_72			AKB_0006790	-0.7649887235824405	0.03890675351506067	
OGs_100110_T1_72			AKP_0018547	0.08630784671239074	0.5159592764225219	
OGs_100110_T1_72			AKL_0000474	0.21663590933330829	-0.4022693466570044	
OGs_100110_T1_72			AKR_0021202	1.0354249903847017	0.6729943401884901	
OGs_100110_T1_72			AKF_0013976	-0.039385604675223986	-0.8033003699046706	
OGs_100110_T1_72			AKD_0023865	3.8836614225416635	4.0838936479715535	
OGs_100110_T1_72			ADL_0014200	0.7711046498964366	-0.36361567119631616	
OGs_100110_T1_72			AKJ_0027441	-0.24429131599605264	-0.667261992640076	
OGs_100110_T1_72			AIN_0000407	-0.6751642131367895	-0.23612153209449907	
OGs_100110_T1_72			AEG_0015810	-0.5747546232663339	0.30910876797185693	
OGs_100110_T1_72			AZA_0025490	-0.4012245313098548	0.25743896236012215	
OGs_100110_T1_72			AAR_0014000	0.5509955505700798	0.047145088419971296	
OGs_100110_T1_72			ACY_0034043	0.48116585535473816	-0.04502249873616667	
OGs_100110_T1_72			AKM_0021399	0.9559068616364257	-0.1294040000552876	
OGs_100110_T1_72			AIA_0014398	1.246629736135517	0.14863840410880072	
OGs_100110_T1_72			ABV_0001203	-0.9391096702474064	-0.5785517011627658	
OGs_100110_T1_72			ABU_0019769	-0.8555212349401137	1.3727702846564476	
OGs_100110_T1_72			ABX_0015019	-0.9840998676758975	-0.707607223057365	
OGs_100110_T1_72			ABW_0009939	-0.9456206391609259	2.4200571247223106	
OGs_100110_T1_72			AIB_0023114	-0.6920382348733172	2.1932717640931605	
OGs_100110_T1_72			ABS_0019988	0.07331230365619482	1.4312850181104708	
OGs_100110_T1_72			AEH_0002973	-0.6777268348589223	0.4161092140856696	
OGs_100110_T1_72			AID_0029728	-0.7724235094754625	-0.2938397758779758	
OGs_100110_T1_72			AAU_0011436	-0.6347150031367877	-0.2303366467490958	
OGs_100110_T1_72			AIC_0048164	-0.5253964017900535	0.29926934389717247	
OGs_100110_T1_72			AGJ_0019639	-0.861467821547668	0.40299235008766343	
OGs_100110_T1_72			AEO_0047123	-0.9012594912269649	-0.28723773872500674	
OGs_100110_T1_72			ACG_0017464	-0.8230502325857825	0.2542880820758444	
OGs_100110_T1_72			AHE_0001010	-0.814328313455773	0.03622939647230565	
OGs_100110_T1_72			AGW_0021930	-0.8466595787879944	-0.5691494582821645	
OGs_100110_T1_72			ABP_0049603	-0.6440983441714496	1.3209904669329648	
OGs_100110_T1_72			AFA_0020884	-0.674203132951391	0.17264662798081226	
OGs_100110_T1_72			AIT_0024944	-0.5862837039071681	0.039865718104914	
OGs_100110_T1_72			ABQ_0011476	-0.6522124072552823	-0.3015448220923944	
OGs_100110_T1_72			ACC_0027839	-0.869655634726503	-0.6100702984024358	
OGs_100110_T1_72			AEX_0023829	-0.6657234246597048	1.5645648328479285	
OGs_100110_T1_72			ACX_0025395	-0.9432609466475678	-0.7716735923464144	
OGs_100110_T1_72			AGD_0007118	-0.8432717323186253	0.21723532922939656	
OGs_100110_T1_72			AAH_0030516	-0.8712424262442369	-0.1784661716702909	
OGs_100110_T1_72			ADO_0008583	-0.7771140155176091	0.25737061354335994	
OGs_100110_T1_72			AEB_0018468	-0.6717647219155779	0.387967540525103	
OGs_100110_T1_72			AEY_0002193	-0.7635137216823943	-0.2795220559540788	
OGs_100110_T1_72			AHF_0035676	-0.5221024896522137	0.25572638205254256	
OGs_100110_T1_72			AIS_0013900	-0.864705838876664	-0.36885658514679726	
OGs_100110_T1_72			AFT_0017455	-0.7856364212327178	0.5844259426086057	
OGs_100110_T1_72			AIR_0024632	-0.8918086106316168	-0.6039028494040709	
OGs_100110_T1_72			AFD_0022439	-0.5446506108031819	-0.4346370584989542	
OGs_100110_T1_72			ADV_0006419	-0.5074805629220196	-0.5672825194325821	
OGs_100110_T1_72			ABF_0041875	-0.6100483134672796	-0.11743053176255615	
OGs_100110_T1_72			AFF_0020186	-0.5581631808411833	0.13305528458521634	
OGs_100110_T1_72			AEQ_0021660	0.47377531951871776	2.121936619631453	
OGs_100110_T1_72	*	AAO_0002113	19.281276125634207	11.551406718425705	
OGs_100110_T1_72			AAN_0020923	0.6158568183326343	-0.9203276555023924	
OGs_100110_T1_72			ACP_0028104	-0.12384887137260206	-0.20214345299532	
OGs_100110_T1_72			AIJ_0014686	0.09813115141644464	0.253358142831827	
OGs_100110_T1_72			AHH_0011036	0.5634166192020472	-0.47475996414934524	
OGs_100110_T1_72			AKE_0002055	-0.916813774421346	-0.33483761235536585	
OGs_100110_T1_72			AAE_0024022	-0.8749384704790366	0.5033922822080167	
OGs_100110_T1_72			AKN_0012146	-0.8477021722362902	-0.11706992150932533	
OGs_100110_T1_72			AKO_0008558	-0.8275086199078693	0.13259251707615463	
OGs_100110_T1_72			AHJ_0001352	2.5985931882141093	1.863202224115045	
OGs_100110_T1_72			AAV_0014042	0.7888900675438347	4.163533287023551	
OGs_100110_T1_72			AAB_0020119	-0.6535531063507453	-0.80633416220767	
OGs_100110_T1_72			AEV_0012519	-0.7082314267854551	0.006389057734481861	
OGs_100110_T1_72			ADD_0004993	-0.7100837186451973	-0.006348496821760459	
OGs_100110_T1_72			AAL_0019300	0.9458846118840071	1.6389175485658698	

tre_ID	insert_branch_label	gene	insertion_depth	insertion_coverage	calculate_insertion
