tree_ID	gd_id	gd_support	sub_calde1	sub_calde1_support	sub_calde2	sub_calde2_support	GD_dup_sps	dup_ratio	sps_level	gd_type	comment
OG_104001	N4	1.0	Ceratopteris_richardii_Ceric.20G066800.1	1.0	Ceratopteris_richardii_Ceric.20G066800.2	1.0	1	1.0	Ceratopteris_richardii	A<=>A	Intraspecific_gene_duplication_event
OG_104001	N7	1.0	Nymphaea_colorata_Nycol.C02085.5-Nymphaea_colorata_Nycol.C02085.4	1.0	Nymphaea_colorata_Nycol.C02085.1-Nymphaea_colorata_Nycol.C02085.6-Nymphaea_colorata_Nycol.C02085.2-Nymphaea_colorata_Nycol.C02085.3	1.0	1	1.0	Nymphaea_colorata	A<=>A	Intraspecific_gene_duplication_event
OG_104001	N10	1.0	Nymphaea_colorata_Nycol.C02085.5	1.0	Nymphaea_colorata_Nycol.C02085.4	1.0	1	1.0	Nymphaea_colorata	A<=>A	Intraspecific_gene_duplication_event
OG_104001	N11	1.0	Nymphaea_colorata_Nycol.C02085.1-Nymphaea_colorata_Nycol.C02085.6	1.0	Nymphaea_colorata_Nycol.C02085.2-Nymphaea_colorata_Nycol.C02085.3	1.0	1	1.0	Nymphaea_colorata	A<=>A	Intraspecific_gene_duplication_event
OG_104001	N12	1.0	Liriodendron_tulipifera_Litul.12G131200.1-Liriodendron_tulipifera_Litul.12G131200.3	1.0	Liriodendron_tulipifera_Litul.12G131200.2	1.0	1	1.0	Liriodendron_tulipifera	A<=>A	Intraspecific_gene_duplication_event
OG_104001	N14	1.0	Aquilegia_coerulea_Aqcoe1G383400.4	1.0	Aquilegia_coerulea_Aqcoe1G383400.1	1.0	1	1.0	Aquilegia_coerulea	A<=>A	Intraspecific_gene_duplication_event
OG_104001	N16	1.0	Nymphaea_colorata_Nycol.C02085.1	1.0	Nymphaea_colorata_Nycol.C02085.6	1.0	1	1.0	Nymphaea_colorata	A<=>A	Intraspecific_gene_duplication_event
OG_104001	N17	1.0	Nymphaea_colorata_Nycol.C02085.2	1.0	Nymphaea_colorata_Nycol.C02085.3	1.0	1	1.0	Nymphaea_colorata	A<=>A	Intraspecific_gene_duplication_event
OG_104001	N18	1.0	Liriodendron_tulipifera_Litul.12G131200.1	1.0	Liriodendron_tulipifera_Litul.12G131200.3	1.0	1	1.0	Liriodendron_tulipifera	A<=>A	Intraspecific_gene_duplication_event
OG_104001	N26	1.0	Helianthus_annuus_HanXRQChr08g0232901	1.0	Helianthus_annuus_HanXRQChr11g0346941-Helianthus_annuus_HanXRQChr11g0335511	1.0	1	1.0	Helianthus_annuus	A<=>A	Intraspecific_gene_duplication_event
OG_104001	N27	1.0	Populus_trichocarpa_Potri.001G471700.3-Populus_trichocarpa_Potri.001G471700.2	1.0	Populus_trichocarpa_Potri.001G471400.1	1.0	1	1.0	Populus_trichocarpa	A<=>A	Intraspecific_gene_duplication_event
OG_104001	N28	1.0	Prunus_persica_Prupe.6G034100.1	1.0	Prunus_persica_Prupe.6G034100.2	1.0	1	1.0	Prunus_persica	A<=>A	Intraspecific_gene_duplication_event
OG_104001	N31	1.0	Helianthus_annuus_HanXRQChr11g0346941	1.0	Helianthus_annuus_HanXRQChr11g0335511	1.0	1	1.0	Helianthus_annuus	A<=>A	Intraspecific_gene_duplication_event
OG_104001	N32	1.0	Populus_trichocarpa_Potri.001G471700.3	1.0	Populus_trichocarpa_Potri.001G471700.2	1.0	1	1.0	Populus_trichocarpa	A<=>A	Intraspecific_gene_duplication_event
